i_config,souris,Idx_souris,n_pixels,lissage_sigma,use_dff,use_global_regression,nRunTrain,n_regions,min_region_size,median_region_size,max_region_size,pVar_final,chi2_final,pVar_max,chi2_min,runtime_sec,status,error
58,M387-6,0,500,2,True,False,100,68,322,482.5,685,-0.18770350192755547,15.020757589900066,-0.0268760068048699,13.036113379995212,7.724337816238403,success,
59,M387-6,0,500,2,True,True,100,68,322,482.5,685,0.0903976245366247,5.483770435077155,0.0903976245366247,5.483770435077155,7.888862133026123,success,
60,M387-6,0,500,3,False,False,100,68,322,482.5,685,0.1453410924817986,8.678415166922212,0.14873334291126783,8.640890003408078,7.695487022399902,success,
61,M387-6,0,500,3,False,True,100,68,322,482.5,685,0.14905983666542755,5.9620160171871355,0.14905983666542755,5.9620160171871355,7.886675119400024,success,
62,M387-6,0,500,3,True,False,100,68,322,482.5,685,-0.10900403100602252,15.288060526051934,-0.09133980015982868,15.035829341995692,7.772820949554443,success,
63,M387-6,0,500,3,True,True,100,68,322,482.5,685,0.09861642756881472,5.845031290818067,0.09861642756881472,5.845031290818067,7.7903220653533936,success,
64,M396-6,1,50,0,False,False,100,730,12,50.0,69,0.44516429124031487,3.5786566461016625,0.44516429124031487,3.5786566461016625,330.0846779346466,success,
65,M396-6,1,50,0,False,True,100,730,12,50.0,69,0.49645876253257637,2.4087633586378896,0.49645876253257637,2.4087633586378896,327.07481598854065,success,
66,M396-6,1,50,0,True,False,100,730,12,50.0,69,0.4369336605335701,3.3876016581508317,0.4601378287865979,3.2537469311331866,331.1404650211334,success,
67,M396-6,1,50,0,True,True,100,730,12,50.0,69,0.5147775127740231,2.1007950384328744,0.5147775127740231,2.1007950384328744,328.88366198539734,success,
68,M396-6,1,50,1,False,False,100,730,12,50.0,69,0.5507818174365839,2.8005728434084305,0.5507818174365839,2.8005728434084305,323.67937898635864,success,
69,M396-6,1,50,1,False,True,100,730,12,50.0,69,0.6015259841869163,2.6125822594591415,0.6015259841869163,2.6125822594591415,324.35988187789917,success,
70,M396-6,1,50,1,True,False,100,730,12,50.0,69,0.5628230579076369,2.3518502127392087,0.5628230579076369,2.3518502127392087,326.7137978076935,success,
71,M396-6,1,50,1,True,True,100,730,12,50.0,69,0.6124484867576009,1.652032946027093,0.6124484867576009,1.652032946027093,329.5283646583557,failed,[Errno 28] No space left on device
72,M396-6,1,50,2,False,False,100,730,12,50.0,69,0.696375482264904,2.043001492485082,0.696375482264904,2.043001492485082,327.8780949115753,failed,[Errno 28] No space left on device
73,M396-6,1,50,2,False,True,100,730,12,50.0,69,0.7548974531121433,1.2664972625044457,0.7548974531121433,1.2664972625044457,324.1529622077942,failed,[Errno 28] No space left on device
74,M396-6,1,50,2,True,False,100,730,12,50.0,69,0.6899836553811745,1.6791182062414995,0.6899836553811745,1.6791182062414995,329.0503327846527,failed,[Errno 28] No space left on device: 'night_run_models/M396-6_npix-50_sigma-2_dff-True_greg-False_nrun-100.pkl'
75,M396-6,1,50,2,True,True,100,730,12,50.0,69,0.7643746102021782,0.9819070267977495,0.7643746102021782,0.9819070267977495,328.7713830471039,success,
76,M396-6,1,50,3,False,False,100,730,12,50.0,69,0.8020475658626466,1.4328962363673605,0.8020475658626466,1.4328962363673605,327.9412100315094,success,
77,M396-6,1,50,3,False,True,100,730,12,50.0,69,0.8483069736358764,0.6906712995578076,0.8483069736358764,0.6906712995578076,383.6155662536621,failed,[Errno 28] No space left on device
78,M396-6,1,50,3,True,False,100,730,12,50.0,69,0.8333325744240985,1.0257209472638504,0.8333325744240985,1.0257209472638504,330.28498816490173,success,
79,M396-6,1,50,3,True,True,100,730,12,50.0,69,0.8327692309438611,0.5555362607760385,0.8327692309438611,0.5555362607760385,329.6889669895172,success,
80,M396-6,1,100,0,False,False,100,367,43,99.0,148,0.2640615402399822,5.220279376910966,0.27172825617908924,5.0912245363052495,78.8168830871582,success,
81,M396-6,1,100,0,False,True,100,367,43,99.0,148,0.31480811575731016,3.793844848897072,0.31480811575731016,3.793844848897072,78.44091987609863,success,
82,M396-6,1,100,0,True,False,100,367,43,99.0,148,0.2178029286992499,4.909635084753912,0.2365098149925452,4.906367148693465,79.68122887611389,success,
83,M396-6,1,100,0,True,True,100,367,43,99.0,148,0.3384513179879042,3.2152910681139235,0.3384513179879042,3.2152910681139235,80.31511926651001,success,
84,M396-6,1,100,1,False,False,100,367,43,99.0,148,0.3993548525722459,4.106128683155952,0.3997069789134794,4.096623523270339,78.33487892150879,success,
85,M396-6,1,100,1,False,True,100,367,43,99.0,148,0.39519379688486944,4.760797188107695,0.39519379688486944,4.760797188107695,79.59788990020752,success,
86,M396-6,1,100,1,True,False,100,367,43,99.0,148,0.2925462158071208,4.100473677476939,0.2925462158071208,4.100473677476939,79.74744892120361,success,
